1,American truck simulator,device_image/2022/americanTruckSimulator.jpg,<p>Компьютерная игра в жанре симулятора водителя-дальнобойщика с элементами экономической стратегии. Действия игры проходят на территории США. Разработана чешской компанией SCS Software в рамках серии Truck Simulator и выпущена 2 февраля 2016 года. Является параллельной игрой Euro Truck Simulator 2.</p>,Компьютерная игра в жанре симулятора водителя-дальнобойщика с элементами экономической стратегии,777.77,33,2022-09-15 23:27:35.786347,2022-09-15 23:27:35.787348,1
2,euro-truck-simulator-2,device_image/2022/euroTruckSimulator.jpg,<p>Компьютерная игра в жанре симулятора водителя-дальнобойщика с элементами экономической стратегии. Разработана и выпущена чешской компанией SCS Software в 2012 году. Часть серии игр Truck Simulator.</p>,Компьютерная игра в жанре симулятора водителя-дальнобойщика с элементами экономической стратегии.,888,76,2022-09-15 23:30:09.750715,2022-09-15 23:30:09.750715,1
3,remnant-from-the-ashes,device_image/2022/RemnantFromTheAshes.jpg,"<p>Компьютерная игра в жанре action/RPG и шутера от третьего лица, разработанная американской студией Gunfire Games и выпущенная компанией Perfect World Entertainment для Microsoft Windows, PlayStation 4 и Xbox One в 2019 году. Действие игры происходит как на постапокалиптической Земле, разорённой нашествием монстров, так и в других мирах; геймплей допускает кооперативную игру в группе до трёх человек, причём планировка областей игры, набор врагов и боссов меняется с каждым прохождением. Remnant получила в целом положительные отзывы и приобрела коммерческий успех; обозреватели высоко оценили её боевую систему и дизайн мира, хотя критиковали сюжет и систему снаряжения и называли Remnant вторичной по отношению к серии Souls и подобным играм.</p>",Компьютерная игра в жанре action/RPG и шутера от третьего лица,987,312,2022-09-15 23:31:48.742904,2022-09-15 23:31:48.742904,1
4,dying-light-2-stay-human,device_image/2022/dyingLight2_stayHuman.jpg,"""<p>Прошло уже 15 лет с тех пор, как человечество потерпело поражение в борьбе с вирусом.</p>

<p>Последнее крупное поселение людей борется за выживание в беспощадном мире, кишащем зараженными. Здесь в современном обличии воплотились все ужасы темных веков: днем в поисках ресурсов или тех, у кого их можно отнять, по улицам бродят бандиты, группировки и умирающие от голода жители, а ночью из своих темных убежищ на охоту выходят кровожадные зараженные.</p>

<p>Вам предстоит оказаться в шкуре выжившего носителя вируса &mdash; Эйдена Кодвела, боевые навыки и невероятная ловкость которого делают его сильным союзником и ценным бойцом в этом опасном мире. Исследуйте больше &mdash; достигайте большего. Уникальные способности дают вам возможность изменить этот загнивающий мегаполис.</p>

<p>Судьба города в ваших руках.</p>""",Компьютерная игра в жанре action RPG,956.23,322,2022-09-15 23:35:40.860415,2022-09-15 23:35:40.860415,1
5,S.T.A.L.K.E.R. 2: Heart of Chornobyl,device_image/2022/Stalker2_heartOfChornobyl.jpg,"""<p>S.T.A.L.K.E.R. 2 - это продолжение серии ролевых шутеров, построенных вокруг баек и слухов о Чернобыльской Катастрофе 1986 года. После отмены проекта в декабре 2011 года игра была анонсирована вновь в мае 2018.&nbsp;<br />
Минимальные требования:<br />
Операционная системаWindows 10<br />
ПроцессорAMD Ryzen 5 1600X или Intel Core i5-7600K<br />
ВидеокартаAMD Radeon RX 580 8 ГБ или NVIDIA GeForce GTX 1060 6 ГБ<br />
Оперативная память (Гб)8.0<br />
Место на диске (Гб)150.0<br />
Рекомендуемые требования:<br />
Операционная системаWindows 10<br />
ПроцессорAMD Ryzen 7 3700X или Intel Core i7-9700K<br />
ВидеокартаAMD Radeon RX 5700 XT 8 ГБ или NVIDIA GeForce RTX 2070 SUPER 8 ГБ, или NVIDIA GeForce GTX 1080 Ti 11 ГБ<br />
Оперативная память (Гб)16.0<br />
Место на диске (Гб)150.0.</p>""","S.T.A.L.K.E.R. 2 - это продолжение серии ролевых шутеров, построенных вокруг баек и слухов о Чернобыльской Катастрофе 1986 года",999.99,99,2022-09-15 23:37:13.910223,2022-09-15 23:37:13.911224,1
6,Флеш-Накопитель DogiFlaps 1 ТБ для Айфона IPHONE/IPAD/MAC OS/IPOD,device_image/2022/DogiFlapsFlash_DriveforAppleDogiFlaps_1_1ТБ.jpg,"""<p>Характеристики<br />
Основные</p>

<p>Объем &nbsp;<br />
&nbsp; &nbsp; 1 ТБ</p>

<p>Интерфейсы<br />
&nbsp; &nbsp; Apple Lightning, USB 3.0</p>

<p>Макс. Скорость чтения, Мб/с<br />
&nbsp; &nbsp; 20</p>

<p>Макс. Скорость записи, Мб/с<br />
&nbsp; &nbsp; 40</p>

<p>Поддержка технологий<br />
&nbsp; &nbsp; On-The-Go (OTG)</p>

<p>Корпус</p>

<p>Конструкция Флеш-карты<br />
&nbsp; &nbsp; Компактный корпус, Отверстие для крепления</p>

<p>Вид закрывания<br />
&nbsp; &nbsp; Поворотный</p>

<p>Защищенность<br />
&nbsp; &nbsp; Влагозащита, Ударопрочный корпус</p>

<p>Дополнительные</p>

<p>Материал корпуса флеш-накопителя<br />
&nbsp; &nbsp; Металл</p>

<p>Гарантийный срок</p>

<p>&nbsp; &nbsp; 1 год</p>

<p>Страна-изготовитель<br />
&nbsp; &nbsp; Китай (Гонконг)</p>

<p>Бренд<br />
&nbsp; &nbsp; DogiFlaps</p>

<p>Тип<br />
&nbsp; &nbsp; USB Флеш-накопитель..</p>""",Флешка для Айфона IPHONE/IPAD/MAC OS/IPOD,10111.01,313,2022-09-15 23:44:26.224402,2022-09-19 17:55:17.539483,7
7,"USB Флеш-накопитель 426ss 2 ТБ, черный",device_image/2022/USBФлеш_накопитель426ss2ТБчерныйs.jpg,"""<p>Объем<br />
&nbsp; &nbsp; 2 ТБ</p>

<p>Интерфейсы<br />
&nbsp; &nbsp; USB 3.0</p>

<p>Макс. Скорость чтения, Мб/с<br />
&nbsp; &nbsp; 40</p>

<p>Конструкция Флеш-карты<br />
&nbsp; &nbsp; Плоский корпус</p>


<p>Вид закрывания<br />
&nbsp; &nbsp; Поворотный</p>
<p>Защищенность<br />
&nbsp; &nbsp; Ударопрочный корпус</p>
<p>Защита данных<br />
&nbsp; &nbsp; Защита от перезаписи</p>
>Цвет<br />
&nbsp; &nbsp; Черный</p>
>Количество в упаковке, шт<br />
&nbsp; &nbsp; 1</p>
>Характеристики<br />
Основные</p>
>Объем<br />
&nbsp; &nbsp; 2 ТБ</p>
>Интерфейсы<br />
&nbsp; &nbsp; USB 3.0</p>
>Макс. Скорость чтения, Мб/с<br />
&nbsp; &nbsp; 40</p>
>Защита данных<br />
&nbsp; &nbsp; Защита от перезаписи</p>
>Корпус</p>",Ударопрочная флешка 2Тб с Защитой от перезаписи,4443.99,14,2022-09-15 23:49:03.530035,2022-09-19 17:54:59.002967,7
8,"USB Флеш-накопитель Optim 8 ТБ, USB3.0/USB 3.1, Type-C, черный 1 вопрос",device_image/2022/USBФлеш_накопительOptim8ТБ.webp,"""<p>Объем<br />
&nbsp; &nbsp; 8 ТБ</p>

<p>Интерфейсы<br />
&nbsp; &nbsp; USB Type-C</p>

<p>Макс. Скорость чтения, Мб/с<br />
&nbsp; &nbsp; 25</p>

<p>Макс. Скорость записи, Мб/с<br />
&nbsp; &nbsp; 20</p>

<p>Материал корпуса флеш-накопителя<br />
&nbsp; &nbsp; Металл</p>

<p>Вид закрывания<br />
&nbsp; &nbsp; Нет</p>

<p>Защищенность<br />
&nbsp; &nbsp; Ударопрочный корпус</p>

<p>Защита данных<br />
&nbsp; &nbsp; Защита паролем</p>

<p>Гарантийный срок</p>

<p>&nbsp; &nbsp; 6 месяцев</p>

<p>Цвет<br />
&nbsp; &nbsp; Черный.</p>""",Флешка с защитой данных на 8Тб,17777.77,133,2022-09-15 23:51:36.400517,2022-09-19 17:54:40.930584,7
9,"Умные часы Honor Watch GS Pro, черный",device_image/2022/Smart_clock_HonorWatchGSPro.jpg,"""<p>Диагональ экрана, дюймы: 1.39<br />
Разрешение экрана: 454х454<br />
Беспроводные интерфейсы: Bluetooth<br />
Совместимость: Android, iOS<br />
Встроенные датчики: GPS-трекер<br />
Диагональ экрана, дюймы<br />
&nbsp; &nbsp; 1.39<br />
Разрешение экрана<br />
&nbsp; &nbsp; 454х454<br />
Беспроводные интерфейсы<br />
&nbsp; &nbsp; Bluetooth<br />
Совместимость<br />
&nbsp; &nbsp; Android, iOS<br />
Встроенные датчики<br />
&nbsp; &nbsp; GPS-трекер<br />
Степень защиты<br />
&nbsp; &nbsp; WR50<br />
Встроенная память<br />
&nbsp; &nbsp; 4 ГБ<br />
Модуль связи Bluetooth<br />
&nbsp; &nbsp; 5.1<br />
Время работы в режиме разговора, ч<br />
&nbsp; &nbsp; 100<br />
Работа в режиме ожидания, ч<br />
&nbsp; &nbsp; 600<br />
Характеристики<br />
Корпус<br />
Степень защиты<br />
&nbsp; &nbsp; WR50<br />
Защищенность<br />
&nbsp; &nbsp; Защита от пыли и влаги, Ударопрочность<br />",Умные часы 454х454 GPS-трекер,22333.44,222,2022-09-15 23:54:49.821039,2022-09-19 17:54:27.547519,7
10,"Наушники беспроводные накладные большие гарнитура Defender FreeMotion 525, Bluetooth 5.0 + microSD + MP3 плеер + FM радио + AUX кабель, черный + белый",device_image/2022/НаушникиБеспроводныеНакладныеБольшиеГарнитураDefenderFreeMotion525.jpg,"""<p>Тип<br />
&nbsp; &nbsp; Беспроводные наушники<br />
Микрофон<br />
&nbsp; &nbsp; Да<br />
Конструкция наушников<br />
&nbsp; &nbsp; Полноразмерные<br />
Шумоподавление<br />
&nbsp; &nbsp; Нет<br />
Время работы в режиме разговора, ч<br />
&nbsp; &nbsp; 8<br />
Мин. частота, Гц<br />
&nbsp; &nbsp; 20<br />
Макс. частота, Гц<br />
&nbsp; &nbsp; 20000<br />
Сопротивление, Ом<br />
&nbsp; &nbsp; 32<br />
Управление наушниками<br />
&nbsp; &nbsp; Кнопочное<br />
Защита от влаги<br />
&nbsp; &nbsp; Нет<br />
Описание<br />
&nbsp; &nbsp; Стильная и удобная Bluetooth-гарнитура необычного дизайна с поддержкой SD-карт и аудио-кабелем в комплекте.<br />
&nbsp; &nbsp; Компактная складная конструкция позволяет легко сложить гарнитуру и взять с собой в поездку.<br />
&nbsp; &nbsp; Встроенный микрофон обеспечивает качественную передачу звука.<br />
&nbsp; &nbsp; Слот для карты памяти стандарта Micro-SD превращает наушники в MP3-плеер -","слушайте музыку, не подключаясь к смартфону или ноутбуку",23333.44,333,2022-09-15 23:57:44.107911,2022-09-19 17:54:14.994517,7
